created_at,user.screen_name,user.name,favorite_count,retweet_count,legislator_state,keyword,label_drew,label_taegyoon,label_final,agreement
Tue Dec 01 03:30:18 +0000 2020,LizBrownUS,Liz Brown,0,0,Indiana,@who,0,0,0,1
Wed Apr 15 19:23:56 +0000 2020,jamelholley,Jamel Holley ♍🔌,1277,525,New_Jersey,@who,0,0,0,1
Wed Jul 24 08:43:17 +0000 2019,DrPanMD,Dr. Richard Pan,0,69,California,@who,1,1,1,1
Tue Sep 10 12:13:34 +0000 2019,MikeSchlossberg,Mike Schlossberg 😷,0,90,Pennsylvania,@who,0,0,0,1
Sat Apr 18 23:26:34 +0000 2020,RepAlanClemmons,Alan Clemmons,0,5122,South_Carolina,@who,0,0,0,1
Mon Mar 09 13:35:43 +0000 2020,DavidCarlucci,David Carlucci,4,7,New_York,@who,0,0,0,1
Fri Oct 23 01:11:39 +0000 2020,RepMaryFranson,Tim Walz is leading us into poverty,22,4,Minnesota,@who,0,0,0,1
Wed Mar 11 20:33:34 +0000 2020,ZachWahls,Zach Wahls,0,0,Iowa,@who,0,0,0,1
Thu Mar 12 14:07:56 +0000 2020,patgardner,Pat Gardner,0,0,Georgia,@who,0,0,0,1
Fri Aug 07 21:34:58 +0000 2020,MikeConnollyMA,Mike Connolly,17,9,Massachusetts,@who,0,0,0,1
Wed Jul 08 11:11:59 +0000 2020,MindyForMA,Mindy Domb,0,1,Massachusetts,develop,0,0,0,1
Wed Sep 23 14:52:19 +0000 2020,SenSantarsiero,Steve Santarsiero,4,2,Pennsylvania,develop,0,0,0,1
Mon Aug 10 01:23:39 +0000 2020,Sdimaso,Serena DiMaso,0,6,New_Jersey,develop,0,0,0,1
Sun Oct 04 13:28:43 +0000 2020,sueford06,Susan Ford,0,10385,New_Hampshire,develop,0,0,0,1
Thu Nov 14 18:57:23 +0000 2019,RepKHoward,Rep. Kristine Howard,0,1,Pennsylvania,develop,0,0,0,1
Fri Jun 05 12:38:30 +0000 2020,NCHouseSpeaker,Speaker Tim Moore,9,6,North_Carolina,develop,0,0,0,1
Sun Mar 15 13:52:20 +0000 2020,RepKarenKwan,Karen Kwan,21,6,Utah,develop,0,0,0,1
Fri Aug 07 12:42:06 +0000 2020,SenJohnYudichak,Sen. John Yudichak,1,0,Pennsylvania,develop,0,0,0,1
Thu Feb 13 22:19:52 +0000 2014,PeteLeeColorado,Senator Pete Lee,0,0,Colorado,develop,0,0,0,1
Tue Oct 08 16:40:02 +0000 2019,RepChapman,Mike Chapman,1,0,Washington,develop,0,0,0,1
Thu Mar 14 23:56:45 +0000 2019,rkerickson,Renee Erickson,0,0,Kansas,law,0,0,0,1
Fri May 29 22:57:11 +0000 2020,rebekahwarren,Rebekah Warren,7,0,Michigan,law,0,0,0,1
Thu Sep 10 22:53:59 +0000 2020,Burrows4TX,Dustin Burrows,0,26,Texas,law,0,0,0,1
Mon Jun 24 16:14:25 +0000 2019,RepPashinski,Eddie Day Pashinski,0,6,Pennsylvania,law,0,0,0,1
Wed Jun 03 00:58:41 +0000 2020,VictoriaLSteele,Victoria Steele,0,25,Arizona,law,0,0,0,1
Wed Oct 14 02:32:31 +0000 2015,RussellWFry,Rep. Russell Fry,0,0,South_Carolina,law,0,0,0,1
Tue Sep 08 15:45:13 +0000 2020,ByronDonalds,Byron Donalds,152,45,Florida,law,0,0,0,1
Wed Jan 15 17:58:03 +0000 2020,repdottieb4mo,Dottie Bailey,0,4,Missouri,law,0,0,0,1
Fri Feb 05 01:13:19 +0000 2016,triston_cole,Triston Cole,0,0,Michigan,law,0,0,0,1
Sat Oct 27 03:48:56 +0000 2018,BillMoen,Assemblyman Bill Moen,0,1142,New_Jersey,law,0,0,0,1
Fri Jan 25 00:36:25 +0000 2019,Earl_Harris_Jr,"Earl L. Harris, Jr.",0,3,Indiana,getting,0,0,0,1
Tue Mar 11 17:48:30 +0000 2014,Electalrobinson,Albert Robinson,0,0,Kentucky,getting,0,0,0,1
Tue Aug 25 23:53:46 +0000 2020,PriceForDel95,Delegate Cia Price,7,2,Virginia,getting,0,0,0,1
Sat Jun 20 16:50:29 +0000 2020,poncho_nevarez,Poncho Nevárez,3,0,Texas,getting,0,0,0,1
Sun Mar 08 21:33:14 +0000 2020,DanDaley,Dan Daley,0,0,Florida,getting,0,0,0,1
Sat Dec 03 21:33:48 +0000 2016,ChuckMcGrady,Rep. Chuck McGrady,1,0,North_Carolina,getting,0,0,0,1
Mon Mar 30 20:20:37 +0000 2020,stewartcatheyjr,"Stewart Cathey, Jr",0,17673,Louisiana,getting,0,0,0,1
Wed Apr 15 21:07:25 +0000 2020,SenatorKnopp,Tim Knopp,1,0,Oregon,getting,0,0,0,1
Sat Jan 23 17:41:21 +0000 2021,K_Boggs18,Rep. Kristin Boggs,0,0,Ohio,getting,1,1,1,1
Tue Aug 04 13:20:19 +0000 2020,Sen_MimiStewart,Mimi Stewart,0,14,New_Mexico,getting,0,0,0,1
Thu Feb 19 06:10:57 +0000 2015,JM_Montgomery,John Montgomery,0,1,Oklahoma,cancer,0,0,0,1
Sat Sep 22 13:19:17 +0000 2018,toddahunter,Todd Hunter,11,0,Texas,cancer,0,0,0,1
Thu Aug 20 20:01:53 +0000 2020,frostnhstaterep,Sherry Frost 🆘 🏳️‍🌈🖤,30,9,New_Hampshire,cancer,0,0,0,1
Thu Jun 06 21:09:18 +0000 2019,Jilchrest,Jillian Gilchrest,0,9,Connecticut,cancer,0,0,0,1
Sun Nov 13 03:35:53 +0000 2016,inhisfields,David Ralston,0,0,Georgia,cancer,0,0,0,1
Thu Jun 20 17:09:01 +0000 2019,DickGottfried,Richard Gottfried,0,22,New_York,cancer,0,0,0,1
Tue Oct 11 22:48:30 +0000 2016,Steve_Glazer,Steve Glazer,10,0,California,cancer,0,0,0,1
Wed Dec 11 17:30:34 +0000 2019,McMahonforNYS,Assemblymember Karen McMahon,17,3,New_York,cancer,0,0,0,1
Wed Dec 27 18:41:49 +0000 2017,Cunning_Jordan,Jordan Cunningham,2,0,California,cancer,0,0,0,1
Thu Mar 08 20:08:19 +0000 2018,TRWhelan,Rep. Tim Whelan,0,13,Massachusetts,cancer,0,0,0,1
